Bus Name,Bus Type,Departure Time,Arrival Time,Duration,Fare,Rating,Seat Availability,Bus Link,Bus Route,State Name
Kadamba Transport Corporation Limited (KTCL) - 6237,Non AC Seater 2+2,18:30,06:30,12h 00m,600.0,4.2,28.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:30,10h 30m,699.0,4.6,5.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,850.0,4.6,12.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,08:30,11h 30m,950.0,4.5,15.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray Amrutyog,A/C Sleeper (2+1),22:00,09:30,11h 30m,799.0,4.4,15.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),23:50,10:00,10h 10m,749.0,4.5,18.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),20:15,06:30,10h 15m,960.0,4.5,11.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:00,10:00,11h 00m,769.0,4.3,17.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Sangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,06:45,09h 45m,762.0,4.2,25.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Zingbus Plus,VE A/C Sleeper (2+1),23:55,11:10,11h 15m,761.0,4.3,21.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:05,09:30,10h 25m,1050.0,4.2,32.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray Vip Yellows,A/C Sleeper (2+1),20:30,08:00,11h 30m,900.0,4.2,20.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Indumati Travels,A/C Sleeper (2+1),22:20,08:30,10h 10m,1710.0,4.2,27.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray Divine,NON A/C Sleeper (1+2),19:45,06:45,11h 00m,700.0,4.1,14.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:30,08:20,10h 50m,791.0,4.1,22.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),20:00,07:15,11h 15m,499.0,4.2,14.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray National Express,NON A/C Sleeper (2+1),20:00,06:45,10h 45m,700.0,4.5,18.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:30,09:30,11h 00m,920.0,4.1,25.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Atmaram Gobus,NON A/C Sleeper (2+1),21:05,07:00,09h 55m,649.0,4.0,24.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:05,08:01,09h 56m,700.0,3.8,23.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),21:45,09:10,11h 25m,757.0,4.1,12.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),21:55,08:20,10h 25m,711.0,3.8,20.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,07:45,10h 30m,449.0,4.2,38.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Prasanna - Purple Bus,VE A/C Sleeper (2+1),22:15,09:30,11h 15m,1120.0,4.0,17.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Laxmi Queen Asta,A/C Sleeper (2+1),21:30,08:00,10h 30m,799.0,3.9,13.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),21:45,08:45,11h 00m,1120.0,3.7,20.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Gogte Travels (Shreyash),NON A/C Sleeper (2+1),19:30,06:30,11h 00m,599.0,3.5,5.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Rajdhani Travels Corporation,VE A/C Sleeper (2+1),23:15,09:35,10h 20m,849.0,4.2,15.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Ashray Pearl,Volvo Multi-Axle A/C Sleeper (2+1),22:30,08:30,10h 00m,2400.0,3.9,6.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Shreyash Travels,Bharat Benz A/C Sleeper (2+1),21:45,08:30,10h 45m,707.0,3.9,11.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Traveltime Travels (St.Christopher),Non AC Seater (2+2),20:00,07:00,11h 00m,400.0,3.4,25.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Laxmi Queen Prime,A/C Sleeper (2+1),20:30,07:30,11h 00m,799.0,3.9,5.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
PSR Travels Goa,A/C Sleeper (2+1),23:45,09:15,09h 30m,1199.0,3.4,18.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:30,09:10,10h 40m,882.0,3.9,31.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Traveltime Travels (Kelkar),NON A/C Seater/ Sleeper (2+1),21:00,08:45,11h 45m,500.0,3.1,24.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),21:30,08:30,11h 00m,910.0,3.9,24.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Humsafar Travels,A/C Sleeper (2+1),22:50,09:30,10h 40m,950.0,3.7,28.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
KVT Narmada Benz,Bharat Benz A/C Sleeper (2+1),22:00,08:00,10h 00m,700.0,4.0,23.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Dolphin travel house,A/C Sleeper (2+1),23:45,10:45,11h 00m,860.0,2.9,33.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Dolphin Travel House (39),A/C Sleeper (2+1),22:30,09:15,10h 45m,860.0,2.4,33.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Anand Travels,NON A/C Sleeper (2+1),21:30,09:30,12h 00m,729.0,2.8,25.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),21:45,08:10,10h 25m,749.0,4.1,20.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Atmaram Manish Travels,NON A/C Hi-Tech (2+2),21:00,07:30,10h 30m,525.0,2.4,29.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Abhishek Vishal Travels (Samarth),A/C Sleeper (2+1),23:25,09:40,10h 15m,699.0,3.3,22.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
PVS Tours and Travels,A/C Sleeper (2+1),22:45,08:45,10h 00m,3000.0,3.4,32.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Traveltime Travels (St.Christopher),Non AC Seater (2+2),20:00,07:00,11h 00m,400.0,3.4,25.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Shreyash Travels,NON A/C Sleeper (2+1),19:30,06:30,11h 00m,606.0,3.2,14.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Hans Travels (I) Private Limited,A/C Sleeper (2+1),23:59,12:14,12h 15m,2300.0,2.4,24.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Humsafar Travels,A/C Sleeper (2+1),22:15,09:00,10h 45m,950.0,3.4,28.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Shree Laxmi Travels,Non AC Seater (2+2),21:45,08:45,11h 00m,1400.0,2.7,45.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Humsafar Travels,A/C Sleeper (2+1),22:15,09:15,11h 00m,950.0,2.9,26.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Gogte Travels,A/C Sleeper (2+1),21:45,09:00,11h 15m,499.0,3.8,11.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Gogte Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),21:00,07:55,10h 55m,699.0,3.8,29.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
PVS Tours and Travels,A/C Seater Push Back (2+2),22:45,08:45,10h 00m,3000.0,3.4,45.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Shubhra Sharma Tourist Services,A/C Sleeper (2+1),00:10,10:31,10h 21m,3000.0,3.3,36.0,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa,Kambada Transport Corporation Limited
Kadamba Transport Corporation Limited (KTCL) - 6032,Non AC Seater 2+2,18:00,08:00,14h 00m,600.0,4.2,5.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,09:10,10h 40m,1850.0,4.8,5.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,10:00,11h 30m,1799.0,4.5,19.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
AdSangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,07:30,10h 30m,1505.0,4.2,17.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),18:10,05:20,11h 10m,1602.0,4.5,11.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),21:00,07:05,10h 05m,2246.0,4.4,10.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,06:30,10h 30m,900.0,4.4,11.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
AdIntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),21:30,07:30,10h 00m,2127.0,4.2,15.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),19:30,05:35,10h 05m,2737.0,4.4,3.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),18:30,05:25,10h 55m,1998.0,4.4,18.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Rajdhani Travels Corporation,VE A/C Sleeper (2+1),18:00,06:10,12h 10m,1699.0,4.5,7.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Gobus,NON A/C Sleeper (2+1),20:01,06:31,10h 30m,1250.0,4.3,3.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Zingbus Plus,VE A/C Sleeper (2+1),19:40,06:10,10h 30m,1446.0,4.4,24.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Travels(M.Dev),A/C Sleeper (2+1),22:00,07:45,09h 45m,1599.0,4.4,10.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),22:00,09:30,11h 30m,1650.0,4.1,20.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Prasanna - Purple Bus,Volvo A/C Sleeper (2+1),18:00,06:15,12h 15m,1420.0,4.2,14.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Zingbus Plus,VE A/C Sleeper (2+1),21:05,07:45,10h 40m,1535.0,4.3,16.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Amrutyog Travels,A/C Sleeper (2+1),19:00,06:22,11h 22m,1499.0,4.1,28.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,06:30,11h 30m,799.0,4.1,34.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Travels(KVT Narmada Red),Bharat Benz A/C Sleeper (2+1),21:16,07:31,10h 15m,1450.0,4.0,1.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Ashray Travels,Volvo Multi-Axle A/C Sleeper (2+1),21:00,07:15,10h 15m,1699.0,3.9,24.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Laxmi Queen Prime,A/C Sleeper (2+1),19:30,06:30,11h 00m,1499.0,4.0,19.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Prasanna - Purple Bus,VE A/C Sleeper (2+1),17:00,05:00,12h 00m,1520.0,4.0,23.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Travels ( Ashray ),A/C Sleeper (2+1),22:02,08:17,10h 15m,1299.0,3.9,10.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Travels (Shreyas),Bharat Benz A/C Sleeper (2+1),20:03,05:48,09h 45m,1499.0,3.9,11.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
IntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:30,09:25,10h 55m,1617.0,3.9,23.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Laxmi Queen Asta,A/C Sleeper (2+1),20:30,07:00,10h 30m,1499.0,4.0,18.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),20:00,06:15,10h 15m,1998.0,4.0,14.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Travels (Shreyas),NON A/C Sleeper (2+1),20:30,07:00,10h 30m,1111.0,3.8,3.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Travels (Dolphin),A/C Sleeper (2+1),17:30,05:00,11h 30m,1200.0,3.8,9.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Prasanna Purple Big Bus,VE A/C Sleeper (2+1),22:00,07:30,09h 30m,1450.0,4.1,18.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Indumati Travels,A/C Sleeper (2+1),21:00,07:00,10h 00m,1900.0,4.0,25.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Gobus,NON A/C Sleeper (2+1),21:02,07:32,10h 30m,1100.0,4.0,19.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Travels (Dolphin),A/C Sleeper (2+1),21:45,08:45,11h 00m,1699.0,3.7,28.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
"National Travels,Goa",NON A/C Sleeper (2+1),19:00,06:20,11h 20m,1199.0,4.4,16.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
PSR Travels Goa,A/C Sleeper (2+1),19:15,06:00,10h 45m,1399.0,3.8,19.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Travels(GTA),A/C Sleeper (2+1),19:00,06:00,11h 00m,1200.0,4.1,14.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Travels (Dolphin),A/C Sleeper (2+1),15:30,02:30,11h 00m,1499.0,4.1,2.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Travels (Unity),A/C Sleeper (2+1),20:00,06:30,10h 30m,1550.0,4.1,8.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Travels (Dolphin),A/C Sleeper (2+1),22:05,10:00,11h 55m,1650.0,3.8,26.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Giroba Travels (ST.Christopher),NON A/C Airbus (2+2),18:00,05:30,11h 30m,649.0,3.9,34.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Travels (Dolphin),AC Sleeper (2+1),16:01,03:01,11h 00m,1200.0,3.7,18.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
PSR Travels (Vaibhav),A/C Sleeper (2+1),22:30,07:30,09h 00m,1899.0,3.3,27.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),18:20,05:15,10h 55m,2108.0,4.4,18.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
VAILANKANNI TRAVELS,VE A/C Sleeper (2+1),18:30,06:55,12h 25m,1500.0,3.6,14.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Sai Travels - Shree Sai,NON A/C Push Back (2+2),17:30,05:00,11h 30m,5000.0,3.2,45.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
VRL Travels,A/C Sleeper (2+1),20:00,07:00,11h 00m,1300.0,3.4,11.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Manish Travels,NON A/C Seater (2+2),16:45,05:35,12h 50m,800.0,2.8,30.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Anand Travels,NON A/C Sleeper (2+1),18:00,04:00,10h 00m,999.0,2.9,8.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Atmaram Travels (Vaibhav),A/C Sleeper (2+1),22:31,08:31,10h 00m,1999.0,2.7,15.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Manish Roshan Travels,A/C Sleeper (2+1),19:00,06:30,11h 30m,1400.0,3.6,28.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Manish Sharma Travels,A/C Sleeper (2+1),17:30,05:00,11h 30m,1500.0,2.0,23.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Manish Travels,A/C Sleeper (2+1),18:00,05:30,11h 30m,1400.0,2.7,23.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Jolly Tours and Travels,VE A/C Sleeper (2+1),17:30,04:45,11h 15m,1800.0,3.7,5.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Sai Travels,A/C Sleeper (2+1),18:00,04:30,10h 30m,1111.0,3.6,22.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Giroba Travels (Kelkar),Non A/C Seater / Sleeper (2+1),17:45,05:30,11h 45m,699.0,3.3,24.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
VRL Travels,A/C Sleeper (2+1),19:30,05:30,10h 00m,1600.0,4.0,13.0,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune,Kambada Transport Corporation Limited
Kadamba Transport Corporation Limited (KTCL) - 97386,Volvo AC Seater Pushback 2+2,17:05,06:00,12h 55m,800.0,3.7,21.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),17:00,10:00,17h 00m,744.0,4.5,14.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Zingbus Plus,VE A/C Sleeper (2+1),20:00,13:10,17h 10m,736.0,4.5,22.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
AdIntrCity SmartBus,AC Sleeper (2+1),15:50,08:10,16h 20m,749.0,4.5,20.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Zingbus Plus,VE A/C Sleeper (2+1),18:00,11:10,17h 10m,709.0,4.5,21.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),17:00,09:10,16h 10m,757.0,4.4,12.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),16:00,08:20,16h 20m,711.0,4.3,20.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
AdNaik Tours And Travels,NON A/C Sleeper (2+1),14:25,06:30,16h 05m,700.0,2.8,22.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),19:30,10:00,14h 30m,749.0,4.3,18.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Rajdhani Travels Corporation,VE A/C Sleeper (2+1),19:55,09:35,13h 40m,849.0,4.3,15.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Dolphin Travel House (38),Bharat Benz A/C Sleeper (2+1),15:30,08:30,17h 00m,910.0,4.2,24.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),13:30,06:30,17h 00m,960.0,4.1,11.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
IntrCity SmartBus,AC Sleeper (2+1),20:55,10:45,13h 50m,711.0,4.0,27.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Jolly Tours and Travels,VE A/C Sleeper (2+1),18:35,07:05,12h 30m,1000.0,4.1,17.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
GANESH PRASAD TRAVELS,NON A/C Seater (2+2),20:00,09:55,13h 55m,2500.0,0.0,49.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
GANESH PRASAD TRAVELS,A/C Seater (2+2),21:00,10:55,13h 55m,2500.0,0.0,49.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Konkan Travels National,A/C Sleeper (2+1),18:00,10:55,16h 55m,749.0,4.1,24.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Global Travel Agency (GTA),A/C Sleeper (2+1),17:50,11:35,17h 45m,750.0,4.1,23.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Konkan Travels National,NON A/C Sleeper (2+1),19:25,09:45,14h 20m,649.0,3.9,19.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Dolphin Travel House (40),A/C Sleeper (2+1),20:45,14:00,17h 15m,910.0,3.7,27.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Shubham Saijyoti Travels,A/C Sleeper (2+1),19:25,09:30,14h 05m,850.0,3.8,11.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Vaibhav travels,A/C Sleeper (2+1),18:00,12:00,18h 00m,1000.0,3.7,28.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Dolphin travel house,A/C Sleeper (2+1),17:45,10:45,17h 00m,860.0,3.5,30.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
Shubham Vailankanni Travels,VE A/C Sleeper (2+1),20:30,12:05,15h 35m,850.0,3.3,24.0,https://www.redbus.in/bus-tickets/mumbai-to-goa,Mumbai to Goa,Kambada Transport Corporation Limited
